gender,age,type,collection,id,time,date,number,report,# words,Emotions,# Emotions,TSNE_x,TSNE_y,PCA_x,PCA_y,Kmean_Cluster_6,Kmean Cluster_2,2W_SA_label,2W_SA_score,6W_SA_dict
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-03-19,0105,"Later, I'm being chased by people in 4 helicopters. They are trying to shoot me. I get on top of a green airplane just barely larger than my body. I lay down on it so it and I are the same configuration. I control the speed with my hands on the prop. We fly over a big shiny lake. I look back. Two men run and jump into the lake to escape the helicopter. They land head first in shallow water from the waist to the feet. They are out of the water (standing on their heads) I go over a mountain, calling ahead to get permission of the airport to land quickly. At first they refuse. I have to wait my turn, heavy traffic. I tell them this is an emergency. They say, ""O.K., you'll have 10 seconds between planes."" I then get inside the plane. I think, ""No, I don't want to, I feel trapped,"" but then I decide to because I would have metal around me and the chair back to stop bullets. I land. Then I'm in a huge house sort of like M City, only there are lots of windows everywhere (like at in-service old club house). I tell people, ""Duck down, or you'll get shot."" A mixture of people are there. Chuck, Dylan and lots of young college age women. One young woman wants to know what's going to happen to our deal over the yarn if some of us get shot. I am impatient with her. I say, ""If I get shot, the yarn's yours, O.K.? The rest we'll worry about later."" I go downstairs. Two Seans come in, nonchalantly. [BL]",344,Missing,0,-20.587475,57.241295,-4.7641006,5.0867424,3,1,NEGATIVE,0.9953674077987671,"[[{'label': 'sadness', 'score': 0.011856797151267529}, {'label': 'joy', 'score': 0.0009716764907352626}, {'label': 'love', 'score': 0.00030470421188510954}, {'label': 'anger', 'score': 0.01041481364518404}, {'label': 'fear', 'score': 0.975019633769989}, {'label': 'surprise', 'score': 0.0014323468785732985}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-10-14,0108,"Howard is driving a beat up VW bus. His wife Karen, the kids and I are in the bus. I am the in passenger seat. I see Howard going to sleep as he drives. I am angry. I yank the driver's seat from him. We argue. He is on a bended knee next to my right side, trying to get close to me. I feel very closed in, rigid. Karen pleads with me to see his need to drive and to be close. I'm angry and I argue that it's best for me to drive and that I don't like him anyway, so there! The brakes are weak and I have trouble stopping or slowing us down when it is needed. [BL]",144,AN,1,-19.474884,39.419758,1.3233831,4.4476857,3,0,NEGATIVE,0.9987925291061401,"[[{'label': 'sadness', 'score': 0.002352870535105467}, {'label': 'joy', 'score': 0.0005456818616949022}, {'label': 'love', 'score': 0.00022871284454595298}, {'label': 'anger', 'score': 0.990528404712677}, {'label': 'fear', 'score': 0.0061688050627708435}, {'label': 'surprise', 'score': 0.0001754624245222658}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-11-04,0118,"I was a lion cub, trying to hide from a big gorilla that was going to hurt me. I would try to squeeze myself under furniture but he'd still  see me. I felt very afraid. A baby monkey would then be near me and his father, the gorilla, would look for him and that would lead him closer to me. Then I was the baby monkey and my father was after me. [BL]",84,AP,1,-20.126057,32.178993,3.0824804,2.5038173,5,0,NEGATIVE,0.9289007186889648,"[[{'label': 'sadness', 'score': 0.0007907946710474789}, {'label': 'joy', 'score': 0.00032387117971666157}, {'label': 'love', 'score': 0.0001750819938024506}, {'label': 'anger', 'score': 0.0006151170236989856}, {'label': 'fear', 'score': 0.9975293278694153}, {'label': 'surprise', 'score': 0.0005658242153003812}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-11-13,0136,"I was aware of two good, heavy dreams. I even had the images still in my head but I was unable to verbalize what I dreamed. No sequence or objects to put names to. There was a sense of something dying so that the next phase can grow and be born and then that going away so first phase has its turn stronger. [BL]",71,Missing,0,-19.261332,31.59651,3.900676,1.6295643,5,0,NEGATIVE,0.9956205487251282,"[[{'label': 'sadness', 'score': 0.9983008503913879}, {'label': 'joy', 'score': 0.0005626817001029849}, {'label': 'love', 'score': 0.0002099078701576218}, {'label': 'anger', 'score': 0.000403155165258795}, {'label': 'fear', 'score': 0.0003567215462680906}, {'label': 'surprise', 'score': 0.00016676446830388159}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-11-19,0145,"A secret door.  I started to go through the back door. 2 men were blocking the way.  I shut the door and went through a side secret door. It led to an old abandoned room. Somehow I had made a time change. I was back in pre-historic times, in a cave. I stood near the mouth of the cave and an eerie light (green phosphorous) shone on me. I cast my image out into the night to look scary. It scared the natives. I saw some children swimming from school, raging water. This was ordinary for them. 1 girl had to walk on land the long way around. The clansmen talked about raising the bridge the children walked on so it was above the water in storms so they wouldn't have to swim so dangerously. I met a man, a caveman. I was intelligent and seemed to know things (realized memories from modern times would unconsciously filter through and I would solve problems). Others felt nervous about me, because I was so good at figuring things out. A plane landed on the swimming place. A man got out, and pushed the light craft up to shore so it wouldn't float away. [BL]",234,Missing,0,-24.753736,52.22351,-3.3116236,3.9406924,3,1,POSITIVE,0.9919345378875732,"[[{'label': 'sadness', 'score': 0.0004852463607676327}, {'label': 'joy', 'score': 0.0003215395554434508}, {'label': 'love', 'score': 0.00011857273057103157}, {'label': 'anger', 'score': 0.0005303192301653326}, {'label': 'fear', 'score': 0.9976403713226318}, {'label': 'surprise', 'score': 0.0009039700380526483}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-12-25,0206,"A vocational rehab counselor was questioning me about my cousin Sonja and her capabilities as a VR counselor in the coast office. I told him that Sonja and I go back as far as birth. She had a few things to learn yet, but she was pretty good. He said he wanted to know more. We got into a car and drove to the M City house. There was some snow on the ground. I suggested that he park in the driveway. I say, ""Turn right into the driveway."" He obstinately turned left into a bank of dirt and snow. He and I agree that that won't do. He turned the car around and parked on the street, facing the ""bad corner."" I was concerned but saw another car was parked right on the corner so that we were protected from collision. We go into the house. I took him the full length of the house to the far end. I say, ""Let's start at the oldest part."" It was a freshly remodeled room, empty of furniture, and freshly painted. I told him how this used to be a half-finished garage. I pointed out where the grape vines used to be. It was now a lovely wall with windows. We moved to the next room, the rec room. I pointed to the door. I said, ""It used to be somewhere else. I still can't get used to it being there and it startles me when it opens. It too has been freshly remodeled."" As he and I had driven up to the house, I had pointed out the rising creek that was in flood stage. I told him that sometimes the creek came right up to the door and sometimes came in and started to flood the house. [BL]",347,AP,1,-16.05144,54.290867,-3.2602544,5.212131,3,1,NEGATIVE,0.9699194431304932,"[[{'label': 'sadness', 'score': 0.0010207848390564322}, {'label': 'joy', 'score': 0.00243746698834002}, {'label': 'love', 'score': 0.993755578994751}, {'label': 'anger', 'score': 0.0007466903771273792}, {'label': 'fear', 'score': 0.0010064629605039954}, {'label': 'surprise', 'score': 0.0010330569930374622}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1980-12-31,0218,"I had some company and they left. I was tired and wanted to sleep. I could sleep sitting up in the van, passenger side, or sleep on the bench seat in the back. Both ways I'd be uncomfortable and cold, so I went to Thea's house and slept in a bed there. They weren't home. I woke up the next day and was getting ready to leave. I came out of the bedroom and found Thea and someone else there. She lectured me about taking advantage of her, using her house without permission, and she asked me if I had used anything else. I was quite annoyed with her. I wanted to leave. It didn't seem polite to leave in the middle of her lecture. She was angry. So was I. I felt guilty and caught but I also felt justified and annoyed. I wished I had chosen to sleep in my cold van. Then, I just decided to leave. I said, ""Bye."" She was miffed. I was then in a library, borrowing books. The female that was with Thea was also borrowing books. She was jealous of something. I talked to my brother Dwight. [BL]",233,AN_AP,2,-14.913269,45.168514,0.118887,3.703909,3,0,NEGATIVE,0.9994097948074341,"[[{'label': 'sadness', 'score': 0.0006949143134988844}, {'label': 'joy', 'score': 0.00042884351569227874}, {'label': 'love', 'score': 0.0002699329925235361}, {'label': 'anger', 'score': 0.9969214200973511}, {'label': 'fear', 'score': 0.0015472274972125888}, {'label': 'surprise', 'score': 0.00013777011190541089}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-01-09,0228,"I am on an airplane. The purpose of the ride is to entertain the kids. I have a job as a ""Granny""; that's where you dress up as an old woman and sit on a chair at the back of the stairs. The kids sit at bottom of stairs and talk to you. You entertain them. Then I have the makeup all over my face to look old and peek in to see someone else doing it. The kids are staring at me. I laugh and say, ""I guess I look funny with all this old lady makeup on."" Then it is a bus and the driver (a fat ugly woman), gets out at a rest stop. Now I'm fighting 3 men that are getting on the bus. I point to one, a young good-looking man, and call him Satan. They are evil and I must protect myself by killing them. [BL]",179,Missing,0,-26.222187,40.86827,0.33921707,4.9192576,3,0,NEGATIVE,0.5088574886322021,"[[{'label': 'sadness', 'score': 0.0021887223701924086}, {'label': 'joy', 'score': 0.012214267626404762}, {'label': 'love', 'score': 0.0010093284072354436}, {'label': 'anger', 'score': 0.002343524945899844}, {'label': 'fear', 'score': 0.007683389354497194}, {'label': 'surprise', 'score': 0.9745607972145081}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-01-16,0236,"Ginny is helping me fix up/clean up my house. Will S comes in. We like each other. He starts to caress me and we initially agree, non-verbally, to make love. We take off our clothes and lay on the dining room table. At first, I am concerned because he's an older man and I think maybe he won't feel good, but he's strong and sensual and the experience is very enjoyable. It lasts a long time. There are interruptions. Ginny and her two sons come in and talk to me. We stop making love and I tell her to go away now. She looks hurt and wants to stay. I gently ask her to leave for awhile. Her sons are fighting. Will S tells them how to get along. Then a candle is burning near us. My mother appears and says, ""Here, I'll move that, it can burn the wood, or your hair."" I say firmly, ""Here, give me back the candle,"" and firmly put it back where I want it. She looks hurt and looks around for something to straighten or fix. She leaves. Will S and I continue. I feel embarrassed because it is taking me so long. He understands and doesn't mind. It feels good. [BL]",254,AP_AP,2,-16.711689,48.157547,-0.1009782,5.3137712,3,1,POSITIVE,0.9985271692276001,"[[{'label': 'sadness', 'score': 0.9725818634033203}, {'label': 'joy', 'score': 0.024066947400569916}, {'label': 'love', 'score': 0.0010575716150924563}, {'label': 'anger', 'score': 0.0010134166805073619}, {'label': 'fear', 'score': 0.0008024508133530617}, {'label': 'surprise', 'score': 0.00047766577336005867}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-01-21,0247,"I'm listening to a tape cassette and ten recordings on it. I get the tape messed up and I'm trying to rewind it back on. I am concerned because it's important. Several women are laughing an sneering at me, like I'm stalling and trying to destroy the tape. A Rolls Royce comes and stops by me. A lot of people get out. The star (like Mickey Rooney), gets out. He comes to me and we kiss. His show comes through town every so often and he sees me then and then leaves. His entourage sneer at me. We go for a walk. We kiss. Then he says, ""Sorry babe, time to leave now,"" he goes away, and then he comes back for the next visit. That is our relationship. He asks me how I've been. He asks me if I have practiced and if I'm walking better. I say, ""Sure."" Then he starts to say goodbye and leaves and then he turns and comes back. He says, ""No, I'm staying. We'll stay together. You'll practice and I'll make sure."" I'm pleased and not pleased all at the same time. I get what I asked for and now not sure that's what I want. [BL]",258,AP_HA_AP,3,-20.67291,54.827534,-2.7421913,5.878532,3,1,NEGATIVE,0.9958773851394653,"[[{'label': 'sadness', 'score': 0.005171846132725477}, {'label': 'joy', 'score': 0.75538569688797}, {'label': 'love', 'score': 0.004455814603716135}, {'label': 'anger', 'score': 0.23083963990211487}, {'label': 'fear', 'score': 0.0028913551941514015}, {'label': 'surprise', 'score': 0.001255510956980288}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-02-05,0274,"Shannon and I go on a vacation, just like last time. We get into a VW bug. She starts to drive. We stop at a restaurant to use the rest room. We carry our cats in. I have a Jay cat (a cousin of mine). She has Mama cat. Jay cat looks up at me, and asks if Papa cat is coming on the trip, I say, ""No, but Mama cat is. We'll have a good time."" Then I point out my new ""jivin'"" hair cut. I choose to drive the rest of the way to give Shannon a rest. I carry the suit cases. I think maybe we'll take a different route this time. I think of Tennessee. [BL]",150,Missing,0,-22.461462,46.36899,-0.004022736,4.57913,3,1,POSITIVE,0.9928900003433228,"[[{'label': 'sadness', 'score': 0.008469341322779655}, {'label': 'joy', 'score': 0.9138083457946777}, {'label': 'love', 'score': 0.002272346056997776}, {'label': 'anger', 'score': 0.06293709576129913}, {'label': 'fear', 'score': 0.011468361131846905}, {'label': 'surprise', 'score': 0.0010445014340803027}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-02-20,0302,"I am dressed as a young boy/man, but I'm a woman. I am in disguise. It's 1800's. A man sees me and seems to take me under his wing. He is quiet, strong and watchful. He knows I'm masquerading and is intrigued by me. There are some ruffians and he saves me from them and suggests I travel with him. I go to get my worldly possessions. I live in an attic room of a big tall building. I go up many flights of stairs. As I am running up the stairs, I feel a mild earthquake. I mutter over and over, ""The bricks, the bricks on the roof."" I am afraid. Apparently my father or some man had been killed by bricks falling off the roof. We get to the roof. I see bricks falling and a man falling. I grab my duffle bag of clothes and run down the flights of stairs. Out on the street, we get on horses to ride away. This man feels empathy for me and will protect me. [BL]",209,AP,1,-18.450136,47.38026,0.09320786,4.7942557,3,1,POSITIVE,0.9975964426994324,"[[{'label': 'sadness', 'score': 0.003968324512243271}, {'label': 'joy', 'score': 0.05302095413208008}, {'label': 'love', 'score': 0.030605966225266457}, {'label': 'anger', 'score': 0.005414553917944431}, {'label': 'fear', 'score': 0.42035338282585144}, {'label': 'surprise', 'score': 0.48663678765296936}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-02-28,0317,"I have a check out stand, for groceries and things. Ethan is talking to me. He likes me. As we talk, my cash register starts malfunctioning. It rings up 55 cents too many times. A long line forms of customers as I try to get the machine to work. Ethan is smiling and talking to me and I'm trying to pay attention to him and also take care of the customers. Finally I decide to write up the stuff by hand. My ""bagger,"" a young girl, complains when I tell her to assist. Then I decide to borrow an adding machine from another stand. I do and everything's O.K. [BL]",131,Missing,0,-24.650093,53.93664,-2.6905599,5.1390495,3,1,NEGATIVE,0.9991359114646912,"[[{'label': 'sadness', 'score': 0.009487808682024479}, {'label': 'joy', 'score': 0.010648992843925953}, {'label': 'love', 'score': 0.0004666234599426389}, {'label': 'anger', 'score': 0.964372992515564}, {'label': 'fear', 'score': 0.014516014605760574}, {'label': 'surprise', 'score': 0.0005076087545603514}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-03-15,0359,"I'm in a class. Ethan is the teacher. In order to pass, I have to learn to shoot a rifle, drink Section 8 juice and jog. I'm back in M City. There's a male bully that challenges me. I get a new angle for my left angle, RA leaves, I jog to build up muscle tone. The Section 8 juice is light cider with a couple teaspoons of Section 9, which is hard cider. I practice hard. At the last day of class, I shoot a perfect bull's eye with a pump rifle and then with a 30-30. I drink twice as much Section 8 as anyone else. Everyone is amazed at my prowess. I'm proud. I wake up with the words ""And the light follows."" Oh, I just remembered that as I was practicing jogging, I ran past the old house in M City. It had been removed so that there was space and light for a small, cute, cozy apartment for an old lady. As I ran by, I peeked in the windows. There was no kitchen, because someone else did her cooking. I saw a pretty Afghan, multi-colored, and a rocking chair, a single bed, with lots of lovely windows. I thought, ""Well, when she dies, they can put in a kitchen so the unit will be reusable."" [BL]",271,Missing,0,-22.709457,53.066856,-2.6770277,5.508316,3,1,POSITIVE,0.994860053062439,"[[{'label': 'sadness', 'score': 0.0022146855480968952}, {'label': 'joy', 'score': 0.15047426521778107}, {'label': 'love', 'score': 0.837510883808136}, {'label': 'anger', 'score': 0.0020424367394298315}, {'label': 'fear', 'score': 0.0015951349632814527}, {'label': 'surprise', 'score': 0.006162635982036591}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-04-04,0390,"Tony W wants me to help him take a test. I must hold pictures up for him and ask him questions. It's called the ""XXX far-sighted test."" It's going to help him with his relationship with his wife Nancy S. George wants me to help him with something too. They both want me to do it at the same time. I have to tell one of them I can't, Tony, I think. Nancy S asks about the test. When I tell her the name she says, ""It's not far-sighted."" I lean over to her (a little annoyed) and say, ""It's far. The pictures are very simplistic and black and white. You'll be able to see them. They lack detail."" Something about cheese. [BL]",156,AN,1,-25.159428,45.05977,-0.3619723,4.523991,3,1,NEGATIVE,0.9924492835998535,"[[{'label': 'sadness', 'score': 0.0018210323760285974}, {'label': 'joy', 'score': 0.007161986548453569}, {'label': 'love', 'score': 0.0004604883724823594}, {'label': 'anger', 'score': 0.9828569293022156}, {'label': 'fear', 'score': 0.007300900761038065}, {'label': 'surprise', 'score': 0.0003986356023233384}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1981-04-11,0400,"Going to the beach. I'm walking through a large building to get to it. Howard is taking care of the baby. I feel guilty as I walk away to go to the beach and enjoy myself. I see an old player piano and want to show it to co-worker Josh, but it has no piano rolls to put in. I'm disappointed. There is a ""player guitar."" I play it. It has pretty music. I walk over and around lots of things to get to the side door to go out. I get lost in the corridors. I have shop lifted a couple of kitchen items, a potato peeler, and a salt shaker my daughter Dovre made. I feel embarrassed. I hope I don't get caught. I wonder why I did it?! A woman employee in a blue shop clerk jacket walks by and I hide the items. I look for directions. I see a sign that says ""beds, l hotels go to heaven."" I go out to the beach. I step over a stove (kitchen), that has an oil painting on it. I stand near the ocean. I see Dovre and Ellie playing in the waves. They are older, more developed physically. I envy their pretty young breasts. I put Paulina (maybe 2 or 3 years old), on my shoulders ""like a dad would"" and walk out. The water is shallow for a long way. Paulina wants to go out further. I look up and see a big wave coming. I turn and walk back hurriedly, explaining to the girls that we are in danger from the delayed wave that is so big. We make it back in time. [BL]",334,AP_SD_AP,3,-20.452637,52.00741,-2.0561478,5.5537987,3,1,NEGATIVE,0.9869606494903564,"[[{'label': 'sadness', 'score': 0.9989926218986511}, {'label': 'joy', 'score': 0.00016583074466325343}, {'label': 'love', 'score': 0.00017053665942512453}, {'label': 'anger', 'score': 0.0001976242201635614}, {'label': 'fear', 'score': 0.0003209015412721783}, {'label': 'surprise', 'score': 0.00015253109449986368}]]"
